,month,opening_price,high_price,low_price,closing_price,volume,gas
0,2005-02,18.2,20.38,18.05,19.9,7379800.0,1.969
1,2005-03,20.0,22.25,19.55,20.76,6934200.0,2.12025
2,2005-04,20.76,21.9,19.49,20.05,4660800.0,2.2845
3,2005-05,20.04,22.15,19.3,21.56,3691300.0,2.2047999999999996
4,2005-06,21.6,24.43,21.5,24.07,3269500.0,2.1982500000000003
5,2005-07,24.07,28.6,24.03,27.89,2512500.0,2.3325
6,2005-08,28.0,30.08,25.6,27.4,4736600.0,2.5288
7,2005-09,27.45,34.44,27.4,32.43,5256000.0,2.9512500000000004
8,2005-10,32.43,32.43,24.54,29.2,6211000.0,2.7652
9,2005-11,29.2,30.08,26.15,29.25,3933400.0,2.3032500000000002
10,2005-12,29.48,32.43,28.65,29.4,3353400.0,2.2287500000000002
11,2006-01,29.5,40.35,29.4,39.92,3577200.0,2.3604
12,2006-02,40.07,42.65,34.343,38.91,8194300.0,2.3257499999999998
13,2006-03,39.14,41.96,34.35,40.31,8696100.0,2.46775
14,2006-04,40.31,47.0,39.04,42.69,6142300.0,2.7865
15,2006-05,43.0,49.16,35.59,38.37,8393800.0,2.9528000000000003
16,2006-06,38.38,41.35,31.5,38.89,7322100.0,2.92975
17,2006-07,38.89,40.07,32.07,34.06,13527900.0,3.0254
18,2006-08,34.1,35.1,29.9,32.09,10850300.0,2.9985
19,2006-09,32.2,32.86,26.8352,29.21,8420600.0,2.6062499999999997
20,2006-10,29.18,34.0,26.99,33.77,9017000.0,2.2926
21,2006-11,33.73,37.45,32.49,34.66,7359400.0,2.2752499999999998
22,2006-12,34.66,35.2,29.8,30.72,6962300.0,2.35875
23,2007-01,30.6,31.0,27.5,30.72,8075500.0,2.289
24,2007-02,30.72,31.99,28.0,30.02,7678200.0,2.32325
25,2007-03,29.27,33.2,25.76,28.93,11573100.0,2.6085000000000003
26,2007-04,28.94,31.15,28.75,30.35,9093100.0,2.8914
27,2007-05,30.56,32.07,26.97,29.41,12777600.0,3.1870000000000003
28,2007-06,29.45,30.67,27.47,27.99,8144100.0,3.102
29,2007-07,27.91,28.1,23.4,23.42,8725600.0,3.0108
30,2007-08,23.55,24.76,20.53,22.29,11918300.0,2.83425
31,2007-09,22.27,25.37,22.16,24.38,7633900.0,2.8492499999999996
32,2007-10,24.28,27.01,23.59,26.82,9220800.0,2.8532
33,2007-11,26.95,28.86,23.8,26.4,9899600.0,3.12825
34,2007-12,26.4,31.0,25.77,29.96,6251800.0,3.0704000000000002
35,2008-01,30.27,33.83,26.41,28.27,13260200.0,3.0944999999999996
36,2008-02,27.65,39.39,27.65,35.48,14675700.0,3.07825
37,2008-03,35.78,36.27,30.47,34.11,17198300.0,3.2932
38,2008-04,34.59,43.7,33.4,40.9,17493100.0,3.5072500000000004
39,2008-05,40.9,56.91,38.43,55.76,17410700.0,3.8150000000000004
40,2008-06,55.82,59.99,53.07,58.51,23616900.0,4.1054
41,2008-07,58.64,59.99,41.8,44.26,23878400.0,4.11425
42,2008-08,43.8,45.99,33.34,35.16,25361600.0,3.83275
43,2008-09,34.0,36.0,25.2,27.29,30581800.0,3.7560000000000002
44,2008-10,27.01,27.01,14.57,19.17,35297700.0,3.112
45,2008-11,19.31,19.95,10.77,14.0,18176800.0,2.2075
46,2008-12,13.51,14.66,9.99,14.32,15728300.0,1.7448000000000001
47,2009-01,14.52,17.3,11.7,12.57,16558000.0,1.84
48,2009-02,12.3,13.09,8.05,8.05,20893200.0,1.9752500000000002
49,2009-03,7.66,7.84,4.94,6.15,38078400.0,2.0112
50,2009-04,5.91,9.95,5.8,9.28,20443000.0,2.102
51,2009-05,9.28,10.83,7.63,10.2,22294700.0,2.316
52,2009-06,10.66,12.1,8.17,9.74,28003500.0,2.681
53,2009-07,9.98,10.85,7.7001,10.69,19930800.0,2.5815
54,2009-08,10.91,12.24,9.78,9.88,15965000.0,2.6700000000000004
55,2009-09,9.8,12.88,9.04,11.71,17195700.0,2.6087499999999997
56,2009-10,11.65,14.87,10.71,11.65,16653900.0,2.60475
57,2009-11,11.81,12.82,9.775,10.35,15570400.0,2.7056
58,2009-12,10.45,12.31,10.12,11.7,12885900.0,2.66275
59,2010-01,11.9,13.27,8.9,8.91,21073400.0,2.7687500000000003
60,2010-02,9.02,9.55,8.15,8.81,15727300.0,2.6992499999999997
61,2010-03,8.77,9.58,8.24,8.4,14361600.0,2.8244000000000002
62,2010-04,8.54,12.0,8.49,9.47,21827500.0,2.8994999999999997
63,2010-05,9.7,10.5,8.2501,9.74,22946500.0,2.8904000000000005
64,2010-06,9.49,10.91,8.43,9.46,21774700.0,2.7849999999999997
65,2010-07,9.47,9.76,8.41,9.21,12546800.0,2.7815000000000003
66,2010-08,9.3,10.17,8.5008,9.04,12187400.0,2.7832
67,2010-09,9.2,10.83,9.12,10.6,9811800.0,2.75725
68,2010-10,10.69,11.42,10.5,10.88,9573700.0,2.8529999999999998
69,2010-11,10.95,16.93,10.61,16.75,27615800.0,2.9130000000000003
70,2010-12,17.22,20.0,15.69,17.87,23307300.0,3.04775
71,2011-01,18.1,20.65,17.51,20.35,15302400.0,3.1483999999999996
